category_list,funding_total_usd,country_code,funding_rounds,Num_of_investor,funding_duration,first_funding_at_UTC,last_funding_at_UTC,label
Trading,7000000.0,USA,1,4,0,11540,11540,0
Games,8000000.0,USA,1,1,0,13160,13160,1
News|Social Media,6900000.0,USA,2,6,555,14215,14770,0
E-Commerce,2640000.0,GBR,2,6,91,15431,15522,0
Biotechnology,17850000.0,USA,2,2,327,16421,16748,0
Biotechnology,35000000.0,FRA,1,4,0,16708,16708,0
Biotechnology|Health Care|Therapeutics,30164603.0,USA,5,16,1877,14685,16562,0
Biotechnology|Pharmaceuticals,7000000.0,ISR,1,1,0,15846,15846,0
Manufacturing,21121298.0,FRA,3,18,1979,10957,12936,0
Games|Reviews and Recommendations|SEO|Social Media,4000000.0,ESP,1,1,0,14975,14975,0
Biotechnology|Health Diagnostics,5480000.0,USA,7,1,1499,15116,16615,0
Bio-Pharm|Medical Devices|Services,50000.0,USA,1,1,0,15271,15271,0
Health and Wellness|Health Care|Social Media|Social Network Media,6300000.0,USA,3,5,512,15512,16024,0
Biotechnology,1250000.0,USA,1,1,0,14616,14616,0
Biotechnology,12000000.0,USA,1,1,0,14586,14586,0
Health Care|Medical|Medication Adherence,2780319.0,BEL,1,2,0,16457,16457,0
Health Care,9000000.0,USA,2,7,120,13530,13650,0
Biotechnology|Health Care,129375000.0,USA,1,1,0,14942,14942,1
Biotechnology,3372501.0,USA,4,7,1532,14615,16147,0
Biotechnology,30449358.0,FRA,3,6,874,15587,16461,0
Software,50000.0,USA,1,1,0,15776,15776,0
Biotechnology,13504894.0,USA,3,2,635,14796,15431,0
Clean Technology,6617250.0,FIN,1,1,0,14505,14505,0
EdTech|Education,1350000.0,USA,2,2,1247,12427,13674,0
Development Platforms,1367119.0,ITA,1,1,0,16213,16213,0
Health Care|Medical|Therapeutics,39000000.0,USA,1,5,0,12303,12303,0
Nanotechnology,7500000.0,USA,1,1,0,16026,16026,0
Semiconductors,10060000.0,USA,1,2,0,13105,13105,0
Biotechnology,16570991.0,USA,6,2,1582,14697,16279,0
Health Care|Health Diagnostics,3508462.0,USA,2,3,708,14579,15287,0
Lasers|Technology,1700000.0,USA,1,2,0,13263,13263,1
Clean Technology,41500000.0,USA,1,3,0,13987,13987,0
Biotechnology,7000000.0,USA,2,3,421,15419,15840,0
Health and Wellness|Medical Devices|Pharmaceuticals|Services,11000000.0,USA,2,3,190,16441,16631,0
Clean Technology,19310005.0,USA,4,1,714,14834,15548,0
Energy Management|Service Providers|Technology,2750000.0,USA,1,2,0,16630,16630,0
Energy Efficiency|Technology,6352533.0,DEU,3,9,636,15903,16539,0
Public Safety|Services,4039403.0,GBR,1,1,0,15979,15979,0
Online Travel|Public Transportation|Weddings,81018.0,ESP,1,1,0,15248,15248,0
Health Care|Medical Devices,57075746.0,USA,5,5,2747,13910,16657,0
Finance,40000.0,CAN,1,1,0,15940,15940,0
Commercial Real Estate|Office Space|Real Estate,2465000.0,USA,4,4,828,15712,16540,0
Entertainment,2000000.0,USA,1,2,0,16321,16321,0
Cloud Management|Film|Film Production,40000.0,RUS,1,2,0,16055,16055,0
Big Data Analytics|Security,15000000.0,ISR,5,9,1064,15706,16770,0
Developer APIs|Internet of Things|M2M,297345.0,ESP,2,7,371,16252,16623,0
Clinical Trials|Medical|Pharmaceuticals,7405730.0,USA,2,2,494,15198,15692,0
Blogging Platforms|Entertainment|News,3500000.0,USA,3,2,624,14102,14726,0
Analytics,2357962.0,GBR,2,2,1035,15387,16422,0
Health Care,225000.0,USA,3,2,608,15478,16086,0
Internet of Things|NFC,69000000.0,NOR,3,1,664,15954,16618,0
3D Technology|Portals|Web Hosting,82029.0,ITA,1,1,0,16059,16059,0
Software,3685000.0,USA,2,8,507,14039,14546,1
Social Media,2025000.0,FIN,2,5,216,15945,16161,0
Hardware + Software|RFID,40500000.0,USA,3,13,1048,13027,14075,1
Software,12999977.0,USA,2,1,721,15021,15742,1
Analytics|Big Data|Consulting|Software,4200010.0,USA,2,2,202,15539,15741,1
Software,7000000.0,CAN,1,3,0,11515,11515,1
Finance|FinTech|Personal Finance,90000000.0,USA,2,2,1767,13108,14875,0
Freemium|Games|Mobile Games,120000.0,USA,1,1,0,16267,16267,0
Customer Service|Market Research|Sales and Marketing|Social Media|Technology,25630000.0,USA,4,10,1514,13374,14888,0
Software,158730.0,CHN,2,1,153,15187,15340,0
Education,10200000.0,USA,2,7,913,15040,15953,0
Education,798050.0,KOR,2,2,578,14975,15553,0
EdTech|Education|Startups|Technology,4700000.0,USA,3,11,946,15559,16505,0
Software,168918.0,CHL,3,4,487,15796,16283,0
EdTech|Education|Web Design|Web Development,9500000.0,USA,3,9,686,15762,16448,0
Collaboration|Enterprises|Enterprise Software|Finance,532000.0,USA,2,10,143,14914,15057,1
Corporate Training|Human Resources,15000000.0,USA,2,2,532,16161,16693,0
Consulting,1600000.0,IND,1,1,0,16077,16077,0
Advertising|Technology,1630000.0,USA,2,15,224,14975,15199,1
Analytics|Finance|Finance Technology|FinTech|Software,1000000.0,USA,1,8,0,16279,16279,0
Financial Services|FinTech,27500000.0,USA,2,2,1516,11048,12564,1
Analytics|Enterprises|Enterprise Software|Gamification|Incentives|SaaS|Sales and Marketing,3436185.39871243,USA,2,1,2028,14241,16269,1
Software,1000000.0,USA,1,1,0,13200,13200,0
Investment Management|Trading,1400000.0,RUS,1,1,0,15584,15584,0
Education,2000000.0,IND,2,1,481,16100,16581,0
Analytics|Digital Media|Optimization|Sales and Marketing|Services|Software,12000000.0,USA,3,7,866,15349,16215,0
Enterprise Software|Mobile|Software|Web Development,36200000.0,USA,4,10,1946,10129,12075,0
Security,16294493.7894764,CAN,2,7,251,12880,13131,1
Biotechnology,25000000.0,USA,1,1,0,13857,13857,1
Games,11000000.0,USA,2,1,383,14917,15300,0
Advertising,800000.0,FIN,1,2,0,15443,15443,0
Advertising,8000000.0,USA,2,4,224,12976,13200,1
Education|Social Innovation|Technology,4329819.0,GBR,4,10,615,16010,16625,0
Content|Content Discovery|Delivery|E-Commerce|Mobile|Mobile Commerce|Wine And Spirits,1100000.0,USA,1,1,0,16513,16513,0
Video,3439960.0,USA,2,11,139,16337,16476,0
Web Tools,610000.0,USA,1,4,0,16658,16658,0
Entertainment|Game Mechanics|Online Gaming,5000000.0,CAN,1,1,0,16534,16534,0
Software,7525000.0,USA,2,2,1722,13937,15659,0
Audio|Entertainment|Games|Internet|News|Television|Video|Video Streaming,300000.0,USA,1,3,0,14744,14744,0
Cloud Computing|Curated Web|File Sharing|Photography|Privacy|Storage|Video,2750000.0,USA,1,6,0,15513,15513,1
Internet Marketing|Software,51979578.0,USA,8,13,2479,13879,16358,0
Social Buying|Social Media,8699999.0,USA,4,2,1488,13149,14637,0
Big Data|Cloud Data Services|Embedded Hardware and Software|Internet of Things|Sensors|Services|Software,14500000.0,USA,3,11,1317,15279,16596,0
Health Care|Medical|Therapeutics,50000.0,USA,1,1,0,16008,16008,0
Entertainment|Media|Services,500000000.0,FRA,1,1,0,12621,12621,0
Curated Web|News,1000000.0,USA,1,2,0,13665,13665,0
Crowdsourcing|Curated Web,4169942.0,CAN,1,1,0,13941,13941,0
Consumer Goods,73408.0,GBR,1,1,0,16222,16222,0
Identity Management|Mechanical Solutions|Technology,15000000.0,USA,1,5,0,12437,12437,1
Content|Information Services|Visualization,50199.0,COL,1,1,0,15522,15522,0
Content|Digital Media|Enterprise Software|Entertainment|Film|Licensing|Media|Video,55500000.0,USA,3,2,1367,15202,16569,0
Education|iPad|Mobile|Software,150519.0,IRL,3,3,700,15218,15918,0
Web Design|Web Development|Web Hosting,4000000.0,GBR,1,1,0,11338,11338,0
Software,390000.0,SGP,1,2,0,15055,15055,0
Software,7000000.0,CAN,1,2,0,16713,16713,0
Artificial Intelligence|Machine Learning|Natural Language Processing,125000.0,USA,2,1,443,16049,16492,0
Big Data|Business Intelligence|Enterprise Software|Software,40700000.0,USA,2,7,732,15507,16239,0
Consulting|Software,28000000.0,USA,1,2,0,11241,11241,0
Enterprise Software|Networking,25662500.0,USA,3,5,1148,15265,16413,0
Biotechnology,56000000.0,CAN,2,9,887,15638,16525,0
Environmental Innovation|Material Science|Recycling,3500000.0,USA,2,4,572,16030,16602,0
Algorithms|E-Commerce|Fashion|Internet|Machine Learning,10500000.0,GBR,3,7,995,15675,16670,0
E-Commerce,21100000.0,USA,3,13,821,15448,16269,0
Messaging,6300000.0,USA,2,2,985,13965,14950,1
Cloud Security|Finance|SaaS|Security,11899495.0,USA,5,8,934,15719,16653,0
Animal Feed|Cyber Security|Data Security|Homeland Security|Information Security|Network Security|Security|Theatre,12.0,USA,1,1,0,16553,16553,0
Network Security,22000000.0,USA,3,3,376,16394,16770,0
Cyber|Mobile Security|Security,56351387.0,USA,5,14,1636,14520,16156,0
Cyber Security|Data Security|Enterprise Security|Information Security|Network Security|Security,12200000.0,USA,2,6,218,16553,16771,0
Security,26300000.0,USA,3,8,702,15706,16408,0
Social + Mobile + Local|Social Network Media,5000000.0,USA,1,7,0,15966,15966,0
E-Commerce|Fashion|Retail,131120000.0,USA,6,16,2024,14664,16688,0
Bridging Online and Offline|Networking|Online Dating,1570000.0,USA,3,3,504,15706,16210,0
Games,600000.0,ARG,1,1,0,14327,14327,1
Enterprise Software,5300000.0,CHN,1,3,0,13514,13514,0
EdTech|Education,2275000.0,USA,2,4,303,16036,16339,0
Games,7000000.0,USA,2,6,427,13514,13941,0
Natural Resources|Oil & Gas|Services,500000000.0,USA,1,1,0,16534,16534,0
Fantasy Sports|Games|Social Games|Sports|Virtual Goods,500000.0,USA,1,1,0,14524,14524,0
E-Commerce,6000000.0,CHN,1,2,0,15887,15887,0
Supply Chain Management,2200000.0,USA,1,3,0,11372,11372,0
Curated Web,9500000.0,USA,2,1,627,15431,16058,0
Biotechnology|Health and Wellness|Health Care,96000000.0,USA,3,8,3010,12431,15441,1
Fashion|Lifestyle|News|Technology|Travel,54000000.0,USA,1,1,0,16708,16708,0
Curated Web,290000.0,IND,3,5,649,15315,15964,0
Analytics|Life Sciences|Technology,4000000.0,USA,1,12,0,16665,16665,0
Beauty|Consumer Goods|Health and Wellness,30000000.0,USA,2,15,575,16071,16646,0
Advertising|Email Marketing|Internet Marketing|Local Advertising|Local Search|Marketing Automation|Small and Medium Businesses|Telecommunications,4000000.0,USA,3,18,1144,15518,16662,0
Health and Wellness,4400000.0,USA,2,5,513,15857,16370,0
Biotechnology,4000000.0,USA,1,1,0,13769,13769,0
Cloud Computing|Enterprise Software|File Sharing|PaaS|SaaS|Software,15215000.0,USA,4,14,3967,11829,15796,0
Cloud Computing|File Sharing|Games|Media|Mobile|Music|Photography|Video,51000019.0,USA,6,16,1980,12740,14720,1
Advertising|Mobile|Social Television|Television,50000.0,USA,1,1,0,15431,15431,0
Curated Web|Service Providers,273200000.0,USA,6,31,1938,14769,16707,0
Film Production|TV Production,10550458.715596301,CAN,1,1,0,16210,16210,0
Enterprise Software,15424164.5244216,CHN,2,3,1253,15126,16379,0
Ediscovery|Mobile|Sports|Television,4200000.0,USA,1,3,0,15608,15608,0
Advertising Platforms|Brand Marketing|Information Technology|SaaS,14500000.0,USA,4,8,1128,15581,16709,0
iPhone|Mobile|Photography|Photo Sharing|Video,2000000.0,USA,2,3,365,14245,14610,0
Android|Developer APIs|iOS|Mobile|Online Scheduling|Optimization|Task Management,20000.0,USA,1,1,0,15706,15706,0
Consumer Electronics,13000000.0,USA,2,2,525,15826,16351,0
Health and Wellness|Medical|Therapeutics,20000000.0,USA,2,4,0,16335,16335,0
Nanotechnology,16227.0,NLD,1,1,0,16525,16525,0
E-Commerce,5000000.0,CHN,1,1,0,13514,13514,0
Biotechnology,30000000.0,CHN,1,2,0,16742,16742,0
Biotechnology,23450000.0,CHN,2,6,1005,13939,14944,0
Enterprise Software,1631321.0,CHN,2,2,92,15857,15949,0
E-Commerce,10000000.0,CHN,1,1,0,13634,13634,0
E-Commerce,784929.0,CHN,2,3,153,15400,15553,0
Fashion,3001500.0,CHN,1,1,0,14944,14944,0
Apps|Mobile|Ride Sharing,13000000.0,CHN,3,3,316,16222,16538,0
Enterprise Software,5040000.0,CHN,2,2,1216,11323,12539,0
Information Technology|Networking|Services,9500000.0,USA,1,3,0,11547,11547,0
Services,350000.0,ITA,1,2,0,16598,16598,0
Finance|Incentives|Monetization|Publishing,296804.0,GBR,2,1,637,15979,16616,0
E-Commerce,390000.0,USA,1,1,0,12797,12797,0
Health Care,18038630.0,USA,4,4,898,14649,15547,1
Software,5200000.0,USA,2,2,598,14883,15481,0
E-Commerce|Mobile|Music|Theatre,65000.0,ARG,2,2,18,15931,15949,0
E-Commerce,10959636.0,KOR,2,4,162,14822,14984,1
Art|Mobile|RFID|Software|Sports|Ticketing|Web Development,1164531.0,IRL,2,3,514,14313,14827,0
Bitcoin|Credit Cards|Events|Ticketing,500000.0,USA,1,1,0,15939,15939,0
E-Commerce|Events|Ticketing,25973150.463089,ESP,9,7,2294,14245,16539,0
Events|Software|Ticketing,1200000.0,USA,1,1,0,15057,15057,0
E-Commerce|Events|Ticketing,5730000.0,ESP,3,5,1430,14422,15852,0
Enterprise Software|Music|Social Media Marketing|Ticketing,87000000.0,USA,6,18,2296,14335,16631,1
Curated Web|Events|Internet,3000000.0,GBR,1,1,0,15671,15671,0
Online Travel|Travel,7413693.0,IND,3,1,520,15636,16156,0
Analytics|Music Services|Social Commerce,120000.0,CAN,2,2,219,16267,16486,0
Consulting,10000000.0,RUS,1,1,0,16043,16043,0
E-Commerce|Events|Ticketing,10252185.0,USA,9,3,2129,13684,15813,0
Event Management|Events|Social Media|Ticketing,11730685.0,GBR,1,1,0,16218,16218,0
Auctions|E-Commerce,34000000.0,USA,1,4,0,13514,13514,1
Auctions|E-Commerce,3840000.0,JPN,3,5,806,15482,16288,0
Concerts|E-Commerce|Hardware|Search|Sports|Ticketing,15000.0,USA,1,1,0,14031,14031,0
Mobile|Ticketing|Transportation,193939.370361713,BGR,2,2,31,16556,16587,0
Advertising|Games|Publishing|Video|Web Tools,1600000.0,ISR,1,1,0,15155,15155,0
Curated Web,32567560.0,USA,5,15,1336,15309,16645,0
Advertising Exchanges|Content|Content Syndication|Marketplaces|Publishing|Sales and Marketing|Social Media,500000.0,USA,2,2,1858,14245,16103,0
Computers|Data Mining|Software,11791613.0,USA,3,7,636,15743,16379,0
Analytics|Cloud Computing|Enterprises|PaaS|SaaS,118370901.0,USA,8,22,1713,14889,16602,0
Curated Web,1500000.0,USA,1,3,0,15464,15464,0
Software,27000000.0,GBR,3,6,1955,12022,13977,1
Information Technology|Services,5800000.0,GBR,1,1,0,12544,12544,0
Education,160010.0,GBR,1,1,0,16111,16111,0
Internet,588402.969735166,AUS,1,1,0,16520,16520,0
Semiconductors,8280000.0,FRA,3,2,656,14421,15077,0
Consulting|Outsourcing|Software,2200000.0,USA,2,1,2907,13655,16562,0
Assisitive Technology,40000.0,CHL,1,1,0,16222,16222,0
Online Scheduling|Social Media,150000.0,ARG,3,2,468,15876,16344,0
E-Commerce|Online Shopping,1032500.0,ARG,4,4,1511,15218,16729,0
Advertising|Internet|Sales and Marketing,1111811.99918897,ESP,3,11,731,15248,15979,0
Software,750000.0,USA,1,2,0,13098,13098,0
Cloud Computing|Enterprise Software|IaaS|PaaS,18500000.0,USA,2,5,575,15042,15617,1
Hospitality,21910356.0,USA,3,2,755,15910,16665,0
Biotechnology,68285881.8492276,BEL,6,5,4437,12327,16764,1
Advertising|Social Media Marketing,5100000.0,AUS,3,4,924,15477,16401,0
Advertising|Analytics|Apps|Facebook Applications|Social CRM|Twitter Applications,1300000.0,FRA,1,3,0,15097,15097,0
Enterprise Software,11000000.0,GBR,1,1,0,15173,15173,0
Software,750000.0,USA,1,1,0,12874,12874,0
Data Security|Messaging|Text Analytics,81100000.0,USA,4,17,1871,14880,16751,0
Apps|Education|Hardware + Software|Toys,5000000.0,USA,4,3,479,15857,16336,0
Telecommunications,15000000.0,GHA,1,2,0,12979,12979,0
Clean Technology,103662749.0,USA,17,7,2679,14022,16701,0
Biotechnology,22500000.0,USA,2,7,1350,13530,14880,0
E-Commerce,1000000.0,VNM,2,2,542,15402,15944,0
Mobile,7400000.0,USA,3,7,972,15364,16336,0
Internet|Internet Service Providers|Wireless,45000000.0,IND,1,4,0,16391,16391,0
Consumer Electronics|Internet of Things|Mobile,18600000.0,USA,2,13,481,15910,16391,0
Semiconductors,127522596.0,USA,7,16,2593,12947,15540,1
Business Analytics|CRM|Internet|Lead Management|SaaS|Sales Automation|Tracking,646774.0,FRA,1,2,0,16325,16325,0
Apps|Retail|Small and Medium Businesses|Software,40898.0,IRL,1,1,0,16111,16111,0
Analytics|Big Data|Real Time|SaaS|Search,1020000.0,USA,2,4,524,15826,16350,0
Software,2900000.0,USA,2,2,405,16036,16441,0
Finance|FinTech,2400000.0,GBR,1,1,0,15649,15649,0
Apps|Concerts|Ediscovery|iOS|Mobile|Music|Ticketing,360000.0,USA,1,3,0,15743,15743,1
Apps|Education|Games|iPad|Kids|Parenting|Publishing|Tablets|Textbooks|Toys,570000.0,USA,3,4,608,15522,16130,0
Freemium|Games|Mobile Games|Real Time,20395.0,EST,1,1,0,15737,15737,0
Enterprise Software|Software|Tracking,170000.0,USA,3,1,1887,14040,15927,0
Delivery|E-Commerce|Hospitality|Restaurants,152500.0,USA,3,4,365,15737,16102,0
Collaboration|Curated Web|Meeting Software|Online Scheduling,12400000.0,USA,3,5,1406,12969,14375,1
Software,600000.0,KOR,1,1,0,16251,16251,0
Social Media,162364.0,CHN,1,1,0,15887,15887,0
Software,25000.0,PHL,1,1,0,15800,15800,0
Analytics|Productivity Software|Task Management,7000000.0,USA,1,6,0,16206,16206,1
Finance|Photography,14118000.0,USA,4,17,1298,14975,16273,0
Semiconductors,7500000.0,USA,1,2,0,12784,12784,0
Content|Real Time,617000.0,USA,2,1,509,15877,16386,1
Online Reservations|Service Providers,50000.0,RUS,1,1,0,15340,15340,0
Consumers|Curated Web|Events|Networking|Web Development,3000000.0,USA,1,2,0,13848,13848,0
Curated Web|Event Management|Events|Internet,250000.0,RUS,2,2,671,15400,16071,0
E-Commerce|Fitness|Health and Wellness|Internet|Spas,119066.0,BEL,2,2,0,15614,15614,0
CRM,40000.0,CHL,1,1,0,16222,16222,0
Curated Web|Home Renovation|Marketplaces|Service Providers,2200000.0,IND,2,5,309,16357,16666,0
Security,6549170.0,USA,5,2,1277,14173,15450,0
Databases|Security|Software,11330863.924417699,CAN,1,4,0,12810,12810,1
Software,15500000.0,USA,1,6,0,11757,11757,0
Consumer Internet,500000.0,RUS,1,1,0,15584,15584,0
Apps|Online Scheduling|Shopping,5000000.0,USA,1,1,0,13780,13780,0
Apps|Customer Service|Internet|Software,126457.0,ESP,1,2,0,16344,16344,0
iPhone|Social Network Media|Sports|Web Hosting,565007.0,ESP,7,1,1299,15187,16486,0
Finance|Messaging,18000.0,USA,1,1,0,14462,14462,0
Charity|Communities|Mobile|Non Profit,100000.0,FRA,1,1,0,16344,16344,0
CRM|Document Management|Enterprise Software|Presentations|SaaS|Sales and Marketing|Sales Automation|Software,12100000.0,USA,3,6,965,15761,16726,0
Marketplaces,1700000.0,USA,2,7,0,15691,15691,1
High Tech|Internet|Security,100000.0,USA,3,4,84,15187,15271,0
Internet of Things|Kids|Mobile|Telecommunications,2141000.0,SWE,4,3,388,16213,16601,0
Curated Web,4000000.0,SWE,1,2,0,16324,16324,0
3D|CAD|Hardware + Software,1000000.0,FIN,1,5,0,15286,15286,1
Education,500000.0,USA,1,4,0,16569,16569,0
Finance,90000000.0,RUS,2,2,153,15461,15614,0
Mobile,20000000.0,RUS,1,2,0,15510,15510,0
Games,3000000.0,USA,1,1,0,13689,13689,0
Enterprise Software|Storage|Virtualization,260000000.0,USA,6,17,1595,15057,16652,0
Enterprise Software,15580440.0,FRA,1,1,0,15286,15286,0
Games,20395.0,LTU,1,1,0,15737,15737,0
Mobile|Photography,11200000.0,USA,3,5,1006,12904,13910,1
Curated Web|Guides|Location Based Services|Mobile|Reviews and Recommendations,300000.0,USA,2,1,123,15248,15371,1
Apps|Education|iOS|Kids|Life Sciences|Media|Software,6000000.0,USA,2,6,568,15645,16213,0
Games,600000.0,CHL,1,2,0,16222,16222,0
Chat|Curated Web,1500000.0,USA,1,7,0,14999,14999,1
Analytics|Big Data|CRM|Sales and Marketing,1900000.0,FRA,1,2,0,16021,16021,0
Games,38000000.0,USA,2,5,993,15030,16023,0
Apps|Mobile|Specialty Foods,27665775.0,IND,4,8,434,16304,16738,0
E-Commerce|Payments|SaaS|Software,3000000.0,USA,1,3,0,15870,15870,0
E-Commerce|Marketplaces|Sales and Marketing|Social Media,1000000.0,USA,1,1,0,15210,15210,0
Consulting|Enterprises|Services,3500000.0,USA,1,2,0,16435,16435,0
Apps|Babies|Creative|Education|Entertainment|Hardware|Health and Wellness|iPad|Kids|Photography,1500000.0,ISR,3,2,471,15659,16130,0
Finance,1005975.0,CAN,2,1,2517,14184,16701,1
Clean Technology,45000000.0,USA,4,14,927,13669,14596,0
Biotechnology,57000000.0,USA,5,9,2285,13157,15442,0
Health Care|Medical|Technology,100000.0,USA,1,1,0,15422,15422,0
Games,2000000.0,USA,1,2,0,15546,15546,0
E-Commerce|Payments,13000000.0,USA,1,2,0,16365,16365,0
Apps|Software,5950000.0,USA,2,3,295,15847,16142,0
Charity|Payments,1000000.0,USA,2,4,267,13879,14146,0
Clean Energy|Crowdfunding|Education|Enterprise Software|Entrepreneur|Environmental Innovation|Humanitarian|Networking|Nonprofits|Social Media,72000.0,USA,2,1,334,14335,14669,0
Apps|Brewing|Mobile,54068.0,IRL,1,1,0,15979,15979,0
Finance|SEO|Stock Exchanges,3000000.0,ISR,1,2,0,16273,16273,0
E-Commerce|Ticketing,4000000.0,USA,3,7,749,15372,16121,0
Software,23500000.0,CAN,4,12,1727,11976,13703,0
Web Hosting,87600000.0,GBR,1,1,0,13735,13735,0
Analytics,750000.0,USA,1,2,0,16572,16572,0
Human Resources,750000.0,USA,1,1,0,12382,12382,0
Biotechnology,13332002.0,USA,3,1,984,15590,16574,0
Health Care,1349658.0,GBR,1,2,0,13515,13515,0
Biotechnology,4000000.0,BRA,2,4,598,13123,13721,0
Biotechnology|Health Care|Medical,37790000.0,USA,5,6,982,15628,16610,0
Games,250000.0,USA,1,2,0,15642,15642,0
Games|Social Network Media,1000000.0,USA,1,19,0,14747,14747,0
Content|Enterprise Hardware|Hardware|Networking,1300602.0,GBR,1,2,0,16585,16585,0
Advertising,15000000.0,CAN,1,1,0,15978,15978,0
Cloud Computing|Data Security|Enterprise Software|Security,1355827.0,CAN,2,3,409,15215,15624,0
Manufacturing,28957627.0,SWE,1,1,0,15777,15777,0
Android|Apps|Databases|Identity|Internet|iOS|Social Media|Social Network Media|Startups,220000.0,USA,1,1,0,15896,15896,0
Networking|Sports,18000.0,USA,1,1,0,15474,15474,0
Biotechnology,1000000.0,USA,1,1,0,15344,15344,0
Electronics|Lighting|Semiconductors,250000.0,USA,1,1,0,15522,15522,0
Services,689908.0,FRA,1,1,0,16150,16150,0
Finance|FinTech,24000000.0,CHN,1,2,0,13363,13363,0
Enterprise Software,26300000.0,USA,4,13,1246,12675,13921,1
E-Books|SaaS|Security|Software,850000.0,USA,2,2,489,13634,14123,0
Enterprise Software|Recruiting,668100.0,ROM,3,4,1229,14975,16204,0
Collaboration|Enterprises|Skill Assessment,2756950.0,USA,3,3,481,13545,14026,0
Content Creators|Document Management|Legal,681223.0,AUS,2,2,686,15400,16086,0
Human Resources|Recruiting|Staffing Firms,40000.0,USA,1,1,0,15408,15408,0
Software,1230000.0,FRA,1,2,0,13000,13000,0
Blogging Platforms,4400000.0,RUS,1,1,0,15918,15918,0
Biotechnology|Health Diagnostics,13000000.0,CAN,2,2,370,13110,13480,0
Software,660000.0,DEU,2,3,300,14825,15125,0
Clean Technology,1600000.0,USA,2,1,493,15824,16317,0
Manufacturing,2508623.0,GBR,1,1,0,15308,15308,0
Biotechnology,4600000.0,USA,1,5,0,16107,16107,0
Health Care|Manufacturing|Medical Devices,3364680.94412947,DEU,1,1,0,16715,16715,0
Online Rental,41250.0,HKG,1,1,0,16252,16252,0
Biotechnology,29580831.0,NLD,5,3,2553,13700,16253,0
E-Commerce,417783.315082575,FRA,2,1,976,15584,16560,0
Consulting|Home Decor|Social Media,216480000.0,CHN,2,5,387,16119,16506,0
Enterprise Software|SaaS|Software,96200000.0,USA,3,11,1869,14033,15902,1
Software,1500000.0,KOR,1,1,0,13363,13363,1
Hardware + Software|Health Diagnostics,71779200.0,SWE,4,6,2698,13598,16296,1
Biotechnology,85999999.0,USA,5,10,2524,13727,16251,1
Cloud Infrastructure|Cloud Management|Enterprise Software|Virtual Desktop|Virtualization,850000.0,DEU,1,2,0,15675,15675,0
Advertising,4350000.0,ISR,4,4,1785,13726,15511,0
Concerts|Mobile Commerce|Software|Ticketing,6682500.0,USA,2,11,493,15901,16394,0
Photography,713434.0,GBR,2,6,575,16110,16685,0
Information Technology|Services|Software,20000000.0,USA,1,1,0,11382,11382,1
Photography,1754347.0,CHN,2,2,974,14822,15796,0
Consumer Electronics|Social Television|Software|Sports|Television,2652000.0,USA,3,3,805,15461,16266,0
Enterprise Security|Security|Web Development,25025.0,MEX,1,1,0,16010,16010,0
Biotechnology,100499993.0,USA,4,6,1436,14404,15840,1
Biotechnology,274902.0,GBR,1,2,0,15053,15053,0
Archiving|Messaging|Video Conferencing,26000000.0,USA,3,12,1055,13873,14928,1
Information Technology,950252.0,AUS,1,4,0,16527,16527,0
News,16340000.0,JPN,4,13,776,15551,16327,0
Customer Service|Discounts|E-Commerce|Internet|Storage,40000.0,ESP,1,1,0,15180,15180,0
Biotechnology,12323710.0,USA,6,6,2284,14046,16330,0
Biotechnology,25734560.0,USA,2,1,831,15548,16379,0
Biotechnology,114500000.0,USA,4,23,3325,11619,14944,0
E-Commerce|Language Learning|Messaging|Translation,600000.0,DEU,3,5,1026,14092,15118,0
Fashion,20000.0,USA,1,1,0,16468,16468,0
Mobile,1700000.0,USA,2,10,198,15735,15933,0
Education,40000.0,CHL,1,1,0,15448,15448,0
E-Commerce|Fashion|Retail,300000.0,USA,1,1,0,13269,13269,0
Music,9750000.0,ISR,3,12,1564,14975,16539,0
Design,6400000.0,IND,1,1,0,15922,15922,0
Augmented Reality|Consumer Electronics|Content|iPhone|Mobile|Virtual Worlds,16000000.0,JPN,2,5,296,14586,14882,0
Financial Services,1000000.0,IND,1,1,0,16657,16657,0
Design|Developer Tools|Web Tools,100000.0,USA,1,1,0,16650,16650,0
Advertising|Crowdsourcing|Curated Web|Entertainment|Sales and Marketing,21246000.0,USA,3,3,2326,14031,16357,0
Finance,60000000.0,CHN,3,5,630,15706,16336,0
Software,2175115.0,CHN,2,2,1492,10773,12265,0
Education|Educational Games|Edutainment|Language Learning,316457.0,GBR,4,3,184,16191,16375,0
Internet|Software|Technology,4130000.0,USA,1,5,0,12443,12443,1
3D Technology|Chat|Messaging|Real Time|Social Media,200000.0,USA,1,1,0,16040,16040,0
Advertising|Social Media,1225000.0,SGP,4,12,798,15643,16441,0
Fitness|Health and Wellness|Services,28059.0961978054,EST,1,1,0,16715,16715,0
Entertainment|Services|Video,2333799.0,CYP,5,3,1592,14484,16076,0
Advertising|Graphics|Optimization|Software,2500000.0,ISR,1,1,0,16265,16265,0
Content|Entertainment|Games|Photography|Social Media,125000.0,NLD,1,1,0,15340,15340,0
Mobile|Security|Software,2990599.0,USA,4,3,768,15736,16504,1
Aerospace,1750000.0,USA,1,3,0,16766,16766,0
Travel,12400000.0,GBR,3,10,894,15237,16131,0
News,3500000.0,USA,1,2,0,13451,13451,1
Music,1000000.0,CHN,1,1,0,14797,14797,0
